hsi_sample_id,y_true,source,location,type,mycotoxin,y_pred
GC-R-GR-180086,0.0,TCS,TCS,GR,AFLA,0.32
69,40.0,TCS,TCS,GR,AFLA,32.62
GC-R-GR-180487,0.0,TCS,TCS,GR,AFLA,0.05
64,0.0,TCS,TCS,GR,AFLA,0.37
16,0.0,TCS,TCS,GR,AFLA,3.37
GC-R-GR-180980,0.0,TCS,TCS,GR,AFLA,1.25
GC-R-GR-180083,0.0,TCS,TCS,GR,AFLA,0.45
GC-R-AS-182015,0.0,TCS,DR-Schaal,AS,AFLA,0.51
GC-R-AS-183828,0.0,TCS,GPC,AS,AFLA,0.53
GC-R-GR-183831,0.0,TCS,GPC,GR,AFLA,0.0
GC-R-GR-183827,0.0,TCS,GPC,GR,AFLA,0.0
GC-R-AS-183829,0.0,TCS,GPC,AS,AFLA,0.19
GC-R-AS-183827,0.0,TCS,GPC,AS,AFLA,0.83
GC-R-AS-182016,81.9,TCS,DR-Schaal,AS,AFLA,0.13
GC-R-AS-182017,0.0,TCS,DR-Schaal,AS,AFLA,0.0
GC-R-GR-183830,0.0,TCS,GPC,GR,AFLA,0.0
GC-R-GR-182017,0.0,TCS,DR-Schaal,GR,AFLA,0.5
GC-R-GR-183829,0.0,TCS,GPC,GR,AFLA,0.07
GC-R-GR-182015,0.0,TCS,DR-Schaal,GR,AFLA,0.26
C-R-AS-183135,0.0,TCS,TCS,AS,AFLA,0.0
C-R-AS-183572,0.0,TCS,TCS,AS,AFLA,0.0
C-R-AS-183125,0.0,TCS,TCS,AS,AFLA,3.14
C-R-AS-183451,0.0,TCS,TCS,AS,AFLA,0.02
QC-1,300.0,TRM,DR-Schaal,GR,AFLA,286.83
QC-2,18.8,TRM,DR-Schaal,GR,AFLA,14.2
QC-5,0.0,TRM,DR-Schaal,GR,AFLA,4.76
GC-R-AS-185788,0.0,TCS,Anderson,AS,AFLA,0.0
GC-R-AS-185790,0.0,TCS,Anderson,AS,AFLA,0.26
GC-R-AS-185787,0.0,TCS,Anderson,AS,AFLA,2.56
GC-R-AS-185789,0.0,TCS,Anderson,AS,AFLA,0.0
