sample_id,uname,date,time,test,result,unit,confidence_score,galaxy_version,model_version,local_hsi_link,s3_hsi_link,s3_model_path,response_time,customer_name
2830,imagoai_aoac,2023-12-08,10:59:28,vomitoxin,20.71,PPB,NA,4.4.0,v1.3,D:\Test\2830\36.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,15,NULL
2830,imagoai_aoac,2023-12-08,10:59:28,zearalenone,186,PPB,NA,4.4.0,v1.3,D:\Test\2830\36.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,15,NULL
29_emptyname_2023-09-25_21-39-10,imagoai_dev,2023-10-03,11:53:47,aflatoxin,0,PPB,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\29_emptyname_2023-09-25_21-39-10\29_emptyname_2023-09-25_21-39-10.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/AFLA/Aflatoxin_v1.1/galaxy_model.gz,23,Ava
29_emptyname_2023-09-25_21-39-10,imagoai_dev,2023-10-03,11:53:47,fumonisin,0.77,PPM,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\29_emptyname_2023-09-25_21-39-10\29_emptyname_2023-09-25_21-39-10.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FUM/Fumonisin_v1.1/galaxy_model.gz,23,Olivia
29_emptyname_2023-09-25_21-39-10,imagoai_dev,2023-10-03,11:53:48,vomitoxin,0.7,PPM,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\29_emptyname_2023-09-25_21-39-10\29_emptyname_2023-09-25_21-39-10.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/DON/Vomitoxin_v1.1/galaxy_model.gz,23,William
29_emptyname_2023-09-25_21-39-10,imagoai_dev,2023-10-03,11:53:48,zearalenone,145.06,PPB,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\29_emptyname_2023-09-25_21-39-10\29_emptyname_2023-09-25_21-39-10.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ZEA/Zearalenone_v1.1/galaxy_model.gz,23,Liam
2931,imagoai_aoac,2023-12-08,11:05:03,aflatoxin,2.01,PPB,NA,4.4.0,v1.3,D:\Test\2931\54.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,14,NULL
2931,imagoai_aoac,2023-12-08,11:05:03,fumonisin,226.23,PPB,NA,4.4.0,v1.3,D:\Test\2931\54.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,14,NULL
2931,imagoai_aoac,2023-12-08,11:05:03,vomitoxin,29234.21,PPB,NA,4.4.0,v1.3,D:\Test\2931\54.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,14,NULL
2931,imagoai_aoac,2023-12-08,11:05:03,zearalenone,10.56,PPB,NA,4.4.0,v1.3,D:\Test\2931\54.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,14,NULL
